,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_bp_mean_mag,phot_rp_mean_mag,l,b,phot_g_mean_mag,radial_velocity,radial_velocity_error,probability,stability,label
0,5969516633162555136,250.3793995872802,0.05047201,-38.84562666636724,0.02694378,5.75168890865164,0.05686258,-12.0780092048945,0.06591042,-21.636784793458023,0.05328133,1.0283381,18.354921,15.233259,344.191191995008,4.9465139554548845,16.52514,,,0.9727891156462585,147,1
4,5977916871999830272,254.11433206638642,0.16006269,-34.89577472201014,0.086638905,5.469669514834965,0.18445681,-12.592049902065195,0.23426577,-21.580544428687567,0.15872031,9.512145,15.0464735,12.984853,349.15691259458305,5.1744299419680395,14.093583,-25.206379,2.8129,0.17006802721088435,147,1
5,6018121060057257472,247.2956386125272,0.0801799,-38.76123464550577,0.05737138,5.926662608328207,0.087366916,-13.369703176634818,0.10535382,-21.482289793324373,0.07996897,1.0002103,19.199953,15.789602,342.6331956850309,6.78500293966489,17.141792,,,0.40816326530612246,147,1
6,6018126591976591872,247.29573625145844,0.07032022,-38.64383140736291,0.050660875,5.738678987483807,0.0811571,-12.892577781824738,0.09427281,-21.819709047893998,0.07444812,0.95587313,19.217144,15.754749,342.71946309539055,6.8652934424272,17.105373,,,0.7482993197278912,147,1
9,5969567485567967360,253.7435146333894,0.017801685,-41.0929192227538,0.011880595,5.7290948905924175,0.021361867,-10.952603678835588,0.027343452,-21.71037450973145,0.021180095,0.8496169,8.877745,8.503896,344.1285810957709,1.5274199386085217,8.749709,2.055056,1.4065434,0.7278911564625851,147,1
10,6018168893133793536,246.25634616689908,0.032457557,-38.67170685837322,0.022836959,5.563534504020502,0.03681607,-12.614019121510573,0.046599958,-20.498710288262146,0.040142864,0.9923207,17.02687,14.015113,342.13559716424436,7.434442728057295,15.278009,,,0.7142857142857143,147,1
11,6018187584832383616,246.73677092443816,0.08122901,-38.433237592541076,0.0580877,5.614012736088508,0.09947703,-13.901085993170046,0.10807039,-20.787026203537607,0.08401674,0.96670544,19.142239,15.469336,342.57122812797945,7.3277530335138925,16.850554,,,0.14285714285714285,147,1
12,5964578043555989504,254.21284260480053,0.05537841,-43.96856923543496,0.029603362,6.017254417469546,0.034344032,-12.047835416455523,0.072701275,-23.057509388176967,0.04616874,1.3646777,,,342.103910615072,-0.5438954956929107,13.374329,-2.345654,3.9312615,0.14965986394557823,147,1
13,6018200057417417856,246.5653192437762,0.10222537,-38.413497132778375,0.07205989,5.409861918811189,0.12872544,-12.692727501016133,0.1308995,-20.534202699594374,0.10679891,1.0422096,19.178164,15.463239,342.492227711253,7.438631834807167,16.851112,,,0.5986394557823129,147,1
15,5996868844642262528,241.68821157178058,0.25416288,-40.33990043567664,0.12731397,5.613747837283886,0.29158884,-12.58535448041268,0.36139357,-20.2957126466872,0.20188385,4.3666058,17.726543,15.051331,338.4139392242128,8.708525902409729,16.291327,,,0.17687074829931973,147,1
16,5967298200970903936,251.7880079740467,0.07718163,-44.454996245745384,0.05179292,5.426463140541102,0.08678681,-10.76723947881144,0.1038443,-21.363892701569032,0.08648457,0.97693485,19.399977,15.819919,340.6234311089854,0.4882636408542449,17.182072,,,0.29931972789115646,147,1
20,5969678467524895104,254.038071820387,0.08785063,-40.49382767927623,0.059045553,5.396509732819147,0.09440618,-10.788143528557672,0.11404103,-21.39890637720478,0.09276315,0.9776551,19.132578,15.728412,344.73532850795516,1.7293943967702483,17.072563,,,0.564625850340136,147,1
24,5992088099358322432,246.1286852155837,0.12445753,-44.23543666070428,0.07753146,5.3230715973264635,0.14767626,-12.927321246320243,0.16817866,-20.59567981455703,0.09866732,0.9795847,19.927614,16.48837,338.0580104532195,3.6267866403179743,17.908257,,,0.29931972789115646,147,1
25,5967398149134628864,251.0446691222911,0.052946635,-43.85158138371507,0.03663925,5.401438847029747,0.05813144,-10.882373589157998,0.068305284,-20.59547684934897,0.052930992,0.9590486,18.108698,15.108967,340.7346730116486,1.2858641696426538,16.405258,,,0.4489795918367347,147,1
27,5993965549837234432,244.87421954445213,0.042621776,-40.06623854500427,0.023416555,5.556275966463014,0.04991611,-13.360122746867235,0.05066827,-20.243939013245054,0.028822333,1.12028,17.153774,14.118733,340.377543500958,7.220598123505367,15.384777,,,0.25170068027210885,147,1
28,5969773747081187072,253.73851181160427,0.07869534,-39.99592419826773,0.050845724,5.730868084178368,0.082585044,-11.326678908612855,0.11607826,-21.966951091543883,0.08780333,1.0042067,19.314512,15.845778,344.9800358155646,2.2196779546892884,17.20491,,,0.8231292517006803,147,1
29,5992131255201948416,245.20345894940763,0.23258093,-44.15793209272217,0.17550132,5.659720448430411,0.31632113,-12.73637259193384,0.26975077,-19.976655909932532,0.2098672,1.0344942,20.631079,17.331776,337.64540950107835,4.152685429918112,19.058136,,,0.20408163265306123,147,1
30,5964768770150915328,253.31566443226308,0.08953602,-43.566125323546345,0.06184416,5.335016766499705,0.10207147,-11.00452554889332,0.13268448,-21.72199930839897,0.101959676,0.94261485,19.51697,15.937165,342.0095798152858,0.21295887123097215,17.279568,,,0.29931972789115646,147,1
32,6018408616710813056,246.6392128692824,0.4573775,-37.84304523524568,0.31209454,5.984736599914279,0.5008763,-13.040789970878077,0.6214047,-20.933767249847985,0.4574093,1.0423781,21.340906,18.498749,342.9493857230753,7.790015749791491,19.965055,,,0.38095238095238093,147,1
33,5967466426228469760,252.09675983825466,0.059118193,-43.42693918893193,0.04318631,5.442138237180792,0.06900813,-11.1502083464759,0.07886861,-21.23845449350533,0.06579371,1.0238128,18.646112,15.411813,341.5520771293127,0.9823138661125895,16.721062,,,0.6666666666666666,147,1
34,5997033015470255488,242.11709397399085,0.15341385,-39.21947749001995,0.07419011,5.8894990346431415,0.19663508,-14.586112958489629,0.17082123,-21.087292924875328,0.11260863,1.0718387,20.152048,16.242512,339.430450631361,9.305194184981266,17.653528,,,0.10884353741496598,147,1
35,5969825321044949632,252.20471275532603,0.07971268,-40.64946160308863,0.048808213,5.984277125996533,0.08672115,-11.516700082533703,0.116335995,-22.305487192334887,0.08236846,1.052536,19.135769,15.535486,343.73134119780946,2.7076824874482717,16.970524,,,0.7006802721088435,147,1
38,5969840508059597184,252.8307176812808,0.26726976,-40.47096240310269,0.16831979,5.553650091851157,0.2948563,-12.106237857997648,0.3767096,-21.83424940892514,0.30440176,1.0133338,21.557262,17.605267,344.17312859975334,2.4561533568107783,19.02082,,,0.6666666666666666,147,1
41,5969861364421079424,252.45773927554788,0.44274288,-40.228360993343955,0.27162132,5.195723027198544,0.4925402,-11.342287302935087,0.6613289,-21.517689969434933,0.49548113,1.064633,21.495943,18.233932,344.178511722895,2.8298161320208655,19.726774,,,0.40816326530612246,147,1
42,5969871676696772992,252.8507052733079,0.07058785,-39.937189674295915,0.045681972,5.82493997153922,0.081478514,-11.103197002920044,0.091893986,-22.11415634190039,0.07414212,1.0035648,19.024263,15.7006235,344.5950439418945,2.784034867372644,17.058292,,,0.7142857142857143,147,1
43,5969872776157378432,252.7995739872079,0.03321084,-39.89043422672048,0.021268694,5.674202796485212,0.039148144,-10.607195209469083,0.045457345,-21.363493794296588,0.03560477,1.0434535,17.250765,14.432288,344.60616944383077,2.8440403916650405,15.660034,,,0.5714285714285714,147,1
44,5964870273125755392,252.99663249368928,0.013729109,-42.842082297824305,0.009241988,5.677922288593932,0.015575202,-10.974469939364415,0.017846698,-22.154477696716427,0.014367636,0.9210634,10.092068,9.279575,342.421838242063,0.8520002704622072,9.774796,2.6285405,0.53069854,0.5714285714285714,147,1
45,5969880262272115584,252.07433495144772,0.014944361,-40.34457104351907,0.009895891,5.58587234223974,0.016234525,-10.766289028771293,0.019917712,-21.083699758968898,0.015810212,0.9589038,14.733346,12.663872,343.9013813604113,2.9796114556398816,13.691243,0.15363121,3.3173716,0.6598639455782312,147,1
46,5969880850749123456,252.02236653480182,0.061821114,-40.36362732403344,0.03829977,5.577412755453567,0.06784235,-11.063048909986124,0.085493945,-20.627500160416446,0.06457063,1.1074663,18.681093,15.457849,343.86125492813136,2.9976607940328943,16.785862,,,0.7210884353741497,147,1
